ArtistId,ArtistName,AlbumId,AlbumTitle,TrackId,TrackName,TrackUnitPrice,TrackBytes,GenreId,GenreName
95,Joe Satriani,121,Surfing with the Alien (Remastered),1498,Crushing Day,0.99,5232158,1,Rock
95,Joe Satriani,121,Surfing with the Alien (Remastered),1499,"Always With Me, Always With You",0.99,3435777,1,Rock
95,Joe Satriani,121,Surfing with the Alien (Remastered),1500,Satch Boogie,0.99,3300654,1,Rock
95,Joe Satriani,121,Surfing with the Alien (Remastered),1501,Hill of the Skull,0.99,1944738,1,Rock
95,Joe Satriani,121,Surfing with the Alien (Remastered),1502,Circles,0.99,3548553,1,Rock
95,Joe Satriani,121,Surfing with the Alien (Remastered),1503,Lords of Karma,0.99,4809279,1,Rock
95,Joe Satriani,121,Surfing with the Alien (Remastered),1504,Midnight,0.99,1851753,1,Rock
95,Joe Satriani,121,Surfing with the Alien (Remastered),1505,Echo,0.99,5595557,1,Rock
46,Jorge Ben,122,Jorge Ben Jor 25 Anos,1506,Engenho De Dentro,0.99,10211473,7,Latin
46,Jorge Ben,122,Jorge Ben Jor 25 Anos,1507,Alcohol,0.99,12010478,7,Latin
46,Jorge Ben,122,Jorge Ben Jor 25 Anos,1508,Mama Africa,0.99,9488316,7,Latin
46,Jorge Ben,122,Jorge Ben Jor 25 Anos,1509,Salve Simpatia,0.99,11314756,7,Latin
46,Jorge Ben,122,Jorge Ben Jor 25 Anos,1510,W/Brasil (Chama O S�ndico),0.99,10599953,7,Latin
46,Jorge Ben,122,Jorge Ben Jor 25 Anos,1511,Pa�s Tropical,0.99,14946972,7,Latin
46,Jorge Ben,122,Jorge Ben Jor 25 Anos,1512,Os Alquimistas Est�o Chegando,0.99,12304520,7,Latin
46,Jorge Ben,122,Jorge Ben Jor 25 Anos,1513,Charles Anjo 45,0.99,13022833,7,Latin
46,Jorge Ben,122,Jorge Ben Jor 25 Anos,1514,Selassi�,0.99,10724982,7,Latin
46,Jorge Ben,122,Jorge Ben Jor 25 Anos,1515,Menina Sarar�,0.99,6393818,7,Latin
46,Jorge Ben,122,Jorge Ben Jor 25 Anos,1516,Que Maravilha,0.99,10996656,7,Latin
46,Jorge Ben,122,Jorge Ben Jor 25 Anos,1517,Santa Clara Clareou,0.99,12524725,7,Latin
46,Jorge Ben,122,Jorge Ben Jor 25 Anos,1518,Filho Maravilha,0.99,7498259,7,Latin
46,Jorge Ben,122,Jorge Ben Jor 25 Anos,1519,Taj Mahal,0.99,9502898,7,Latin
96,Jota Quest,123,Jota Quest-1995,1520,Rapidamente,0.99,8470107,7,Latin
96,Jota Quest,123,Jota Quest-1995,1521,As Dores do Mundo,0.99,8537092,7,Latin
96,Jota Quest,123,Jota Quest-1995,1522,Vou Pra Ai,0.99,10053718,7,Latin
96,Jota Quest,123,Jota Quest-1995,1523,My Brother,0.99,8431821,7,Latin
96,Jota Quest,123,Jota Quest-1995,1524,H� Quanto Tempo,0.99,9004470,7,Latin
96,Jota Quest,123,Jota Quest-1995,1525,V�cio,0.99,8887216,7,Latin
96,Jota Quest,123,Jota Quest-1995,1526,Encontrar Algu�m,0.99,7437935,7,Latin
96,Jota Quest,123,Jota Quest-1995,1527,Dance Enquanto � Tempo,0.99,7583799,7,Latin
96,Jota Quest,123,Jota Quest-1995,1528,A Tarde,0.99,8836127,7,Latin
96,Jota Quest,123,Jota Quest-1995,1529,Always Be All Right,0.99,4299676,7,Latin
96,Jota Quest,123,Jota Quest-1995,1530,Sem Sentido,0.99,8292108,7,Latin
96,Jota Quest,123,Jota Quest-1995,1531,Onibusfobia,0.99,10474904,7,Latin
97,Jo�o Suplicy,124,Cafezinho,1532,Pura Elegancia,0.99,9632269,16,World
97,Jo�o Suplicy,124,Cafezinho,1533,Choramingando,0.99,6400532,16,World
97,Jo�o Suplicy,124,Cafezinho,1534,Por Merecer,0.99,7764601,16,World
97,Jo�o Suplicy,124,Cafezinho,1535,No Futuro,0.99,6056200,16,World
97,Jo�o Suplicy,124,Cafezinho,1536,Voce Inteira,0.99,8077282,16,World
97,Jo�o Suplicy,124,Cafezinho,1537,Cuando A Noite Vai Chegando,0.99,9081874,16,World
97,Jo�o Suplicy,124,Cafezinho,1538,Naquele Dia,0.99,8452654,16,World
97,Jo�o Suplicy,124,Cafezinho,1539,Equinocio,0.99,8871455,16,World
97,Jo�o Suplicy,124,Cafezinho,1540,Papel�o,0.99,7257390,16,World
97,Jo�o Suplicy,124,Cafezinho,1541,Cuando Eu For Pro Ceu,0.99,3948371,16,World
97,Jo�o Suplicy,124,Cafezinho,1542,Do Nosso Amor,0.99,6774566,16,World
97,Jo�o Suplicy,124,Cafezinho,1543,Borogodo,0.99,7104588,16,World
97,Jo�o Suplicy,124,Cafezinho,1544,Cafezinho,0.99,6031174,16,World
97,Jo�o Suplicy,124,Cafezinho,1545,Enquanto O Dia N�o Vem,0.99,7248336,16,World
98,Judas Priest,125,Living After Midnight,1546,The Green Manalishi,0.99,6720789,3,Metal
98,Judas Priest,125,Living After Midnight,1547,Living After Midnight,0.99,7056785,3,Metal
98,Judas Priest,125,Living After Midnight,1548,Breaking The Law (Live),0.99,4728246,3,Metal
98,Judas Priest,125,Living After Midnight,1549,Hot Rockin',0.99,6509179,3,Metal
98,Judas Priest,125,Living After Midnight,1550,Heading Out To The Highway (Live),0.99,9006022,3,Metal
98,Judas Priest,125,Living After Midnight,1551,The Hellion,0.99,1351993,3,Metal
98,Judas Priest,125,Living After Midnight,1552,Electric Eye,0.99,7231368,3,Metal
98,Judas Priest,125,Living After Midnight,1553,You've Got Another Thing Comin',0.99,9962558,3,Metal
98,Judas Priest,125,Living After Midnight,1554,Turbo Lover,0.99,11068866,3,Metal
98,Judas Priest,125,Living After Midnight,1555,Freewheel Burning,0.99,8713599,3,Metal
98,Judas Priest,125,Living After Midnight,1556,Some Heads Are Gonna Roll,0.99,8198617,3,Metal
98,Judas Priest,125,Living After Midnight,1557,Metal Meltdown,0.99,9390646,3,Metal
98,Judas Priest,125,Living After Midnight,1558,Ram It Down,0.99,9554023,3,Metal
98,Judas Priest,125,Living After Midnight,1559,Diamonds And Rust (Live),0.99,7163147,3,Metal
98,Judas Priest,125,Living After Midnight,1560,Victim Of Change (Live),0.99,14067512,3,Metal
98,Judas Priest,125,Living After Midnight,1561,Tyrant (Live),0.99,9190536,3,Metal
137,The Black Crowes,210,Live [Disc 2],2589,Hard To Handle,0.99,6786304,6,Blues
137,The Black Crowes,210,Live [Disc 2],2590,Remedy,0.99,11049098,6,Blues
138,The Clash,211,The Singles,2591,White Riot,0.99,3922819,4,Alternative & Punk
138,The Clash,211,The Singles,2592,Remote Control,0.99,5949647,4,Alternative & Punk
138,The Clash,211,The Singles,2593,Complete Control,0.99,6272081,4,Alternative & Punk
138,The Clash,211,The Singles,2594,Clash City Rockers,0.99,7555054,4,Alternative & Punk
138,The Clash,211,The Singles,2595,(White Man) In Hammersmith Palais,0.99,7883532,4,Alternative & Punk
138,The Clash,211,The Singles,2596,Tommy Gun,0.99,6399872,4,Alternative & Punk
138,The Clash,211,The Singles,2597,English Civil War,0.99,5111226,4,Alternative & Punk
138,The Clash,211,The Singles,2598,I Fought The Law,0.99,5245258,4,Alternative & Punk
138,The Clash,211,The Singles,2599,London Calling,0.99,6569007,4,Alternative & Punk
138,The Clash,211,The Singles,2600,Train In Vain,0.99,6329877,4,Alternative & Punk
138,The Clash,211,The Singles,2601,Bankrobber,0.99,9067323,4,Alternative & Punk
138,The Clash,211,The Singles,2602,The Call Up,0.99,10746937,4,Alternative & Punk
138,The Clash,211,The Singles,2603,Hitsville UK,0.99,8606887,4,Alternative & Punk
138,The Clash,211,The Singles,2604,The Magnificent Seven,0.99,8889821,4,Alternative & Punk
138,The Clash,211,The Singles,2605,This Is Radio Clash,0.99,8366573,4,Alternative & Punk
138,The Clash,211,The Singles,2606,Know Your Rights,0.99,7195726,4,Alternative & Punk
138,The Clash,211,The Singles,2607,Rock The Casbah,0.99,7361500,4,Alternative & Punk
142,The Rolling Stones,218,Voodoo Lounge,2690,Love Is Strong,0.99,7639774,1,Rock
138,The Clash,211,The Singles,2608,Should I Stay Or Should I Go,0.99,6188688,4,Alternative & Punk
139,The Cult,212,Beyond Good And Evil,2609,War (The Process),0.99,8254842,1,Rock
139,The Cult,212,Beyond Good And Evil,2610,The Saint,0.99,7061584,1,Rock
139,The Cult,212,Beyond Good And Evil,2611,Rise,0.99,7106195,1,Rock
139,The Cult,212,Beyond Good And Evil,2612,Take The Power,0.99,7650012,1,Rock
139,The Cult,212,Beyond Good And Evil,2613,Breathe,0.99,9742361,1,Rock
139,The Cult,212,Beyond Good And Evil,2614,Nico,0.99,9412323,1,Rock
139,The Cult,212,Beyond Good And Evil,2615,American Gothic,0.99,7739840,1,Rock
139,The Cult,212,Beyond Good And Evil,2616,Ashes And Ghosts,0.99,9787692,1,Rock
139,The Cult,212,Beyond Good And Evil,2617,Shape The Sky,0.99,6885647,1,Rock
139,The Cult,212,Beyond Good And Evil,2618,Speed Of Light,0.99,8563352,1,Rock
139,The Cult,212,Beyond Good And Evil,2619,True Believers,0.99,9981359,1,Rock
139,The Cult,212,Beyond Good And Evil,2620,My Bridges Burn,0.99,7571370,1,Rock
139,The Cult,213,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",2621,She Sells Sanctuary,0.99,8368634,1,Rock
139,The Cult,213,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",2622,Fire Woman,0.99,10196995,1,Rock
139,The Cult,213,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",2623,Lil' Evil,0.99,5419655,1,Rock
139,The Cult,213,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",2624,Spirit Walker,0.99,7555897,1,Rock
139,The Cult,213,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",2625,The Witch,0.99,8725403,1,Rock
139,The Cult,213,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",2626,Revolution,0.99,8371254,1,Rock
139,The Cult,213,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",2627,Wild Hearted Son,0.99,8670550,1,Rock
139,The Cult,213,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",2628,Love Removal Machine,0.99,8412167,1,Rock
139,The Cult,213,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",2629,Rain,0.99,7788461,1,Rock
139,The Cult,213,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",2630,Edie (Ciao Baby),0.99,7846177,1,Rock
139,The Cult,213,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",2631,Heart Of Soul,0.99,8967257,1,Rock
139,The Cult,213,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",2632,Love,0.99,10729824,1,Rock
139,The Cult,213,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",2633,Wild Flower,0.99,7084321,1,Rock
139,The Cult,213,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",2634,Go West,0.99,7777749,1,Rock
139,The Cult,213,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",2635,Resurrection Joe,0.99,8532840,1,Rock
139,The Cult,213,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",2636,Sun King,0.99,12010865,1,Rock
139,The Cult,213,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",2637,Sweet Soul Sister,0.99,6889883,1,Rock
139,The Cult,213,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",2638,Earth Mofo,0.99,9204581,1,Rock
140,The Doors,214,The Doors,2639,Break on Through,0.99,4943144,1,Rock
140,The Doors,214,The Doors,2640,Soul Kitchen,0.99,7040865,1,Rock
140,The Doors,214,The Doors,2641,The Crystal Ship,0.99,5052658,1,Rock
140,The Doors,214,The Doors,2642,Twentienth Century Fox,0.99,5069211,1,Rock
140,The Doors,214,The Doors,2643,Alabama Song,0.99,6563411,1,Rock
140,The Doors,214,The Doors,2644,Light My Fire,0.99,13963351,1,Rock
140,The Doors,214,The Doors,2645,Back Door Man,0.99,7035636,1,Rock
140,The Doors,214,The Doors,2646,I Looked At You,0.99,4663988,1,Rock
140,The Doors,214,The Doors,2647,End Of The Night,0.99,5589732,1,Rock
140,The Doors,214,The Doors,2648,Take It As It Comes,0.99,4512656,1,Rock
140,The Doors,214,The Doors,2649,The End,0.99,22927336,1,Rock
141,The Police,215,The Police Greatest Hits,2650,Roxanne,0.99,6330159,1,Rock
52,Kiss,126,Unplugged [Live],1562,Comin' Home,0.99,5661120,1,Rock
52,Kiss,126,Unplugged [Live],1563,Plaster Caster,0.99,6528719,1,Rock
52,Kiss,126,Unplugged [Live],1564,Goin' Blind,0.99,7167523,1,Rock
52,Kiss,126,Unplugged [Live],1565,Do You Love Me,0.99,6343111,1,Rock
52,Kiss,126,Unplugged [Live],1566,Domino,0.99,7488191,1,Rock
52,Kiss,126,Unplugged [Live],1567,Sure Know Something,0.99,8375190,1,Rock
52,Kiss,126,Unplugged [Live],1568,A World Without Heroes,0.99,5832524,1,Rock
52,Kiss,126,Unplugged [Live],1569,Rock Bottom,0.99,6560818,1,Rock
52,Kiss,126,Unplugged [Live],1570,See You Tonight,0.99,4817521,1,Rock
52,Kiss,126,Unplugged [Live],1571,I Still Love You,0.99,12086145,1,Rock
52,Kiss,126,Unplugged [Live],1572,Every Time I Look At You,0.99,9290948,1,Rock
52,Kiss,126,Unplugged [Live],1573,"2,000 Man",0.99,10292829,1,Rock
52,Kiss,126,Unplugged [Live],1574,Beth,0.99,5577807,1,Rock
52,Kiss,126,Unplugged [Live],1575,Nothin' To Lose,0.99,7351460,1,Rock
52,Kiss,126,Unplugged [Live],1576,Rock And Roll All Nite,0.99,8549296,1,Rock
22,Led Zeppelin,127,BBC Sessions [Disc 2] [Live],1577,Immigrant Song,0.99,6457766,1,Rock
22,Led Zeppelin,127,BBC Sessions [Disc 2] [Live],1578,Heartbreaker,0.99,10179657,1,Rock
22,Led Zeppelin,127,BBC Sessions [Disc 2] [Live],1579,Since I've Been Loving You,0.99,13471959,1,Rock
22,Led Zeppelin,127,BBC Sessions [Disc 2] [Live],1580,Black Dog,0.99,10267572,1,Rock
22,Led Zeppelin,127,BBC Sessions [Disc 2] [Live],1581,Dazed And Confused,0.99,36052247,1,Rock
22,Led Zeppelin,127,BBC Sessions [Disc 2] [Live],1582,Stairway To Heaven,0.99,17050485,1,Rock
22,Led Zeppelin,127,BBC Sessions [Disc 2] [Live],1583,Going To California,0.99,7646749,1,Rock
22,Led Zeppelin,127,BBC Sessions [Disc 2] [Live],1584,That's The Way,0.99,11248455,1,Rock
22,Led Zeppelin,127,BBC Sessions [Disc 2] [Live],1585,Whole Lotta Love (Medley),0.99,26742545,1,Rock
22,Led Zeppelin,127,BBC Sessions [Disc 2] [Live],1586,Thank You,0.99,12831826,1,Rock
22,Led Zeppelin,128,Coda,1587,We're Gonna Groove,0.99,5180975,1,Rock
22,Led Zeppelin,128,Coda,1588,Poor Tom,0.99,6016220,1,Rock
22,Led Zeppelin,128,Coda,1589,I Can't Quit You Baby,0.99,8437098,1,Rock
22,Led Zeppelin,128,Coda,1590,Walter's Walk,0.99,8712499,1,Rock
22,Led Zeppelin,128,Coda,1591,Ozone Baby,0.99,7079588,1,Rock
22,Led Zeppelin,128,Coda,1592,Darlene,0.99,10078197,1,Rock
22,Led Zeppelin,128,Coda,1593,Bonzo's Montreux,0.99,8557447,1,Rock
22,Led Zeppelin,128,Coda,1594,Wearing And Tearing,0.99,10701590,1,Rock
22,Led Zeppelin,129,Houses Of The Holy,1595,The Song Remains The Same,0.99,10708950,1,Rock
22,Led Zeppelin,129,Houses Of The Holy,1596,The Rain Song,0.99,15029875,1,Rock
22,Led Zeppelin,129,Houses Of The Holy,1597,Over The Hills And Far Away,0.99,9552829,1,Rock
22,Led Zeppelin,129,Houses Of The Holy,1598,The Crunge,0.99,6460212,1,Rock
22,Led Zeppelin,129,Houses Of The Holy,1599,Dancing Days,0.99,7250104,1,Rock
22,Led Zeppelin,129,Houses Of The Holy,1600,D'Yer Mak'er,0.99,8645935,1,Rock
22,Led Zeppelin,129,Houses Of The Holy,1601,No Quarter,0.99,13656517,1,Rock
22,Led Zeppelin,129,Houses Of The Holy,1602,The Ocean,0.99,8846469,1,Rock
22,Led Zeppelin,130,In Through The Out Door,1603,In The Evening,0.99,13399734,1,Rock
22,Led Zeppelin,130,In Through The Out Door,1604,South Bound Saurez,0.99,8420427,1,Rock
22,Led Zeppelin,130,In Through The Out Door,1605,Fool In The Rain,0.99,12371433,1,Rock
22,Led Zeppelin,130,In Through The Out Door,1606,Hot Dog,0.99,6536167,1,Rock
22,Led Zeppelin,130,In Through The Out Door,1607,Carouselambra,0.99,20858315,1,Rock
22,Led Zeppelin,130,In Through The Out Door,1608,All My Love,0.99,11684862,1,Rock
22,Led Zeppelin,130,In Through The Out Door,1609,I'm Gonna Crawl,0.99,10737665,1,Rock
22,Led Zeppelin,131,IV,1610,Black Dog,0.99,9660588,1,Rock
22,Led Zeppelin,131,IV,1611,Rock & Roll,0.99,7142127,1,Rock
22,Led Zeppelin,131,IV,1612,The Battle Of Evermore,0.99,11525689,1,Rock
22,Led Zeppelin,131,IV,1613,Stairway To Heaven,0.99,15706767,1,Rock
22,Led Zeppelin,131,IV,1614,Misty Mountain Hop,0.99,9092799,1,Rock
22,Led Zeppelin,131,IV,1615,Four Sticks,0.99,9481301,1,Rock
22,Led Zeppelin,131,IV,1616,Going To California,0.99,7068737,1,Rock
22,Led Zeppelin,131,IV,1617,When The Levee Breaks,0.99,13912107,1,Rock
22,Led Zeppelin,132,Led Zeppelin I,1618,Good Times Bad Times,0.99,5464077,1,Rock
22,Led Zeppelin,132,Led Zeppelin I,1619,Babe I'm Gonna Leave You,0.99,13189312,1,Rock
22,Led Zeppelin,132,Led Zeppelin I,1620,You Shook Me,0.99,12643067,1,Rock
22,Led Zeppelin,132,Led Zeppelin I,1621,Dazed and Confused,0.99,12610326,1,Rock
22,Led Zeppelin,132,Led Zeppelin I,1622,Your Time Is Gonna Come,0.99,9011653,1,Rock
22,Led Zeppelin,132,Led Zeppelin I,1623,Black Mountain Side,0.99,4440602,1,Rock
22,Led Zeppelin,132,Led Zeppelin I,1624,Communication Breakdown,0.99,4899554,1,Rock
22,Led Zeppelin,132,Led Zeppelin I,1625,I Can't Quit You Baby,0.99,9252733,1,Rock
22,Led Zeppelin,132,Led Zeppelin I,1626,How Many More Times,0.99,16541364,1,Rock
22,Led Zeppelin,133,Led Zeppelin II,1627,Whole Lotta Love,0.99,11026243,1,Rock
22,Led Zeppelin,133,Led Zeppelin II,1628,What Is And What Should Never Be,0.99,9369385,1,Rock
22,Led Zeppelin,133,Led Zeppelin II,1629,The Lemon Song,0.99,12463496,1,Rock
22,Led Zeppelin,133,Led Zeppelin II,1630,Thank You,0.99,9337392,1,Rock
22,Led Zeppelin,133,Led Zeppelin II,1631,Heartbreaker,0.99,8387560,1,Rock
22,Led Zeppelin,133,Led Zeppelin II,1632,Living Loving Maid (She's Just A Woman),0.99,5219819,1,Rock
141,The Police,215,The Police Greatest Hits,2651,Can't Stand Losing You,0.99,5971983,1,Rock
141,The Police,215,The Police Greatest Hits,2652,Message in a Bottle,0.99,9647829,1,Rock
141,The Police,215,The Police Greatest Hits,2653,Walking on the Moon,0.99,10019861,1,Rock
141,The Police,215,The Police Greatest Hits,2654,Don't Stand so Close to Me,0.99,7956658,1,Rock
141,The Police,215,The Police Greatest Hits,2655,"De Do Do Do, De Da Da Da",0.99,8227075,1,Rock
141,The Police,215,The Police Greatest Hits,2656,Every Little Thing She Does is Magic,0.99,8646853,1,Rock
141,The Police,215,The Police Greatest Hits,2657,Invisible Sun,0.99,7304320,1,Rock
